PlayerID,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,2,0,0,0,0
2,0,0,2,3,2,3,0,1,2,2,2,11,2,10,2,5,6,2,14,3,2,6,6,11,2,2,2,0,2,3,3,2,2,5,9,8,2,3
3,2,12,6,2,2,2,0,5,9,2,3,0,10,3,3,1,5,2,2,3,5,2,4,2,6,1,3,9,9,1,2,0,1,13,3,1,2,15
4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,2,1,1,1,6,1,0,0,0,0
6,3,2,3,0,0,0,0,3,10,2,3,0,2,9,3,2,2,1,3,3,2,1,3,0,2,8,3,2,1,2,1,2,1,1,1,0,2,3
7,3,2,16,10,1,2,0,0,2,4,6,0,2,10,3,16,11,13,2,9,5,2,4,8,11,2,7,2,6,2,10,7,2,15,10,2,2,3
8,1,1,1,2,2,0,0,6,1,1,1,0,1,1,1,0,2,0,0,1,0,0,0,1,1,0,1,4,1,1,1,0,0,1,1,1,1,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,1,7,1,8,1,0,6,5,1,6,0,6,6,5,8,2,1,7,8,0,2,3,1,13,7,6,5,8,0,6,4,0,2,6,1,2,6
11,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,6,8,1,2,13,2,6,2,5,0,0,0,0,0,1,1,1,0,0,1,1,1
12,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,1,0,4
13,6,2,3,5,5,7,0,9,2,15,9,0,1,4,5,3,9,6,3,6,9,2,15,6,15,2,3,18,1,1,0,13,2,2,3,2,2,6
14,0,0,1,1,1,1,0,1,1,1,6,0,2,6,0,0,0,0,1,1,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,6,1,6,2,2,2,0,6,2,1,10,0,2,6,6,6,3,2,6,11,1,3,3,2,13,1,6,3,3,1,1,2,1,3,10,2,2,6
16,7,1,7,9,2,1,0,6,2,1,8,0,2,6,15,5,2,0,6,5,1,2,3,1,15,1,14,2,2,1,1,1,0,2,7,1,1,6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,4,0,0,0,1,0,1,0,0,0,0,0
19,8,8,6,2,10,2,0,3,4,12,3,0,2,8,3,6,8,10,3,2,2,1,5,6,26,2,8,7,5,13,5,9,1,1,6,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,1,0,2,2,0,1,2,1,1,2,0,1,0,0,1,3,2,3,0,4,1,2,2,0,1,1,2,2,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,4,1,1,1,1,0,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,1,0,10,1,1,1,0,1,1,0,6,1,0,0,1,0,1,2,4,1,2,1,0,1,0,1,1,0,0,0,0,1,1
26,8,-1,14,7,1,0,0,15,1,1,5,0,2,7,8,6,2,1,7,6,1,2,3,1,12,1,7,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,19,4,1,6,1,0,6,8,5,2,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,1,1,12,7,7,2,2,7,2,2,1,12
29,2,0,1,3,1,1,0,2,3,2,1,0,1,1,0,0,1,1,0,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,6,1,2,1,0,0,1,1,1,2,2,12,2,1,13,1,1,8,1,1,1,1,1,13,2,2,0,3,2,0,1,1,2,0,2,5,3
31,1,3,10,2,3,3,0,6,6,2,1,2,7,1,2,1,0,0,2,1,10,0,2,-3,9,7,3,7,14,9,6,1,5,3,2,2,2,3
32,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0
33,1,-1,1,2,1,1,0,7,0,0,0,0,0,1,10,2,1,7,2,1,0,0,-1,0,6,1,1,0,1,0,0,1,1,1,1,0,0,2
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,0,1,0,1,1,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,2,1,2,1,2,0,3,3,1,2,2,1,1,1,4,2,6,0,0,0,0,1,2,12,3,2,2,10,3,3,2,6,2,2,1,2,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,2,1,0,1,2,0,9,6,2,1,-2,10,0,1,1,1,5,7,2,6,0,0,0,7,8,2,12,10,6,6,2,15,2,1,2,1,1
40,1,11,6,2,2,2,0,2,2,2,2,2,6,1,5,0,6,5,2,1,8,11,7,8,6,2,8,5,17,7,16,2,2,2,1,4,0,9
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,8,2,1,2,1,0,1,1,2,1,1,3,2,2,2,2,10,2,11,3,5,1,2,6,3,2,8,9,3,3,5,3,2,2,3,1,1
43,1,2,1,1,1,0,0,0,0,2,1,0,6,0,2,1,0,1,2,0,1,1,1,3,6,12,2,6,0,0,0,0,0,0,0,1,2,1
44,1,1,1,2,0,2,0,7,6,1,1,1,6,0,2,2,1,5,2,2,7,0,0,0,7,7,2,6,8,5,6,2,8,2,2,2,1,2
45,2,1,5,1,2,8,0,3,2,0,2,0,13,2,7,0,2,3,2,12,3,2,1,1,3,1,2,6,3,1,0,0,0,0,1,6,1,2
46,0,0,1,3,7,2,0,1,4,2,2,-1,6,2,2,6,5,11,2,2,5,2,5,1,3,2,2,11,8,3,3,8,3,2,1,10,9,7
47,0,2,2,1,1,5,0,10,3,1,2,2,1,1,14,2,0,0,0,3,3,1,2,1,3,3,2,9,8,6,13,2,3,2,2,8,8,9
48,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,3,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
